Source,Like,Author,Description,User_id,Text,Type,Source_link,Date,Mention,Nbr_mentions,Nbr_hashtags,Mentions_texts,Hashtags_texts
twitter,3530,whitney medworth,INDIANA KIDS &gt;&gt;&gt;&gt;,12345,Nike’s women’s basketball marketing 👏 https://t.co/yCZ83iA12u,video,https://twitter.com/user/status/1765732467619590405,2024-03-07T13:33,nike,0,0,[],[]
twitter,3530,whitney medworth,hello 2002 uconn wbb vintage jersey :),12345,Nike’s women’s basketball marketing 👏 https://t.co/yCZ83iA12u,video,https://twitter.com/user/status/1765732467619590405,2024-03-07T13:33,nike,0,0,[],[]
twitter,2747,OPSWAT,Popular #cybersecurity tools are insufficient to stop #fileupload attacks. OPSWAT CEO @bennyczarny shares why. https://t.co/aDpPHOxKLK https://t.co/tBd1o17mLl,12345,"You are more than your sport. You’re a leader. A guide. A mentor. No matter what you coach or the athletes you lead, we want to help you experience wholeness through Jesus so you can reflect Him to your athletes. This is being a 360 Coach.",video,https://twitter.com/user/status/1675006316924874752,2023-07-01T05:00,nike,0,0,[],[]
twitter,1647,FCA,"“I have treasured your word in my heart so that I may not sin against you.” – Psalm 119:11

We need to build up our spiritual muscle memory so that when tempting situations come or difficult choices are made, we immediately do what God wants us to do without second guessing. https://t.co/97aa7jThdO",12345,"You are more than your sport. You’re a leader. A guide. A mentor. No matter what you coach or the athletes you lead, we want to help you experience wholeness through Jesus so you can reflect Him to your athletes. This is being a 360 Coach.",video,https://twitter.com/user/status/1675006316924874752,2023-07-01T05:00,nike,0,0,[],[]
